Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4p6.4d,2D,3/2,,0.00,,0.13,0.79,L2592
4p6.4d,2D,5/2,,724.15,,0.18,1.22,L2592
4p6.5s,2S,1/2,,7467.10,,0.12,2.00,L2592
4p6.5p,2P*,1/2,,41401.46,,0.11,0.66,L2592
4p6.5p,2P*,3/2,,42954.87,,0.09,1.33,L2592
4p6.6s,2S,1/2,,86717.59,,0.03,,L2592
4p6.5d,2D,3/2,,88379.61,,0.02,,L2592
4p6.5d,2D,5/2,,88578.29,,0.02,,L2592
4p6.6p,2P*,1/2,,99345.62,,0.02,,L2592
4p6.6p,2P*,3/2,,99943.71,,0.02,,L2592
4p6.4f,2F*,7/2,,101088.23,,0.03,,L2592
4p6.4f,2F*,5/2,,101091.42,,0.03,,L2592
4p6.7s,2S,1/2,,117915.23,,0.04,,L2592
4p6.6d,2D,3/2,,118936.91,,0.03,,L2592
4p6.6d,2D,5/2,,119029.30,,0.04,,L2592
4p6.5f,2F*,5/2,,123192.92,,0.06,,L2592
4p6.5f,2F*,7/2,,124193.02,,0.06,,L2592
4p6.7p,2P*,1/2,,124041.76,,0.13,,L2592
4p6.7p,2P*,3/2,,124338.78,,0.13,,L2592
4p6.5g,2G,9/2,,125836.15,,0.07,,L2592
4p6.5g,2G,7/2,,125836.22,,0.07,,L2592
4p6.8s,2S,1/2,,133599.09,,0.08,,L2592
4p6.7d,2D,3/2,,134206.87,,0.08,,L2592
4p6.7d,2D,5/2,,134257.75,,0.09,,L2592
4p6.6f,2F*,5/2,,136894.08,,0.06,,L2592
4p6.6f,2F*,7/2,,136895.91,,0.07,,L2592
4p6.8p,2P*,1/2,,137036.4,,0.7,,L2592
4p6.8p,2P*,3/2,,137205.5,,0.5,,L2592
4p6.6g,2G,7/2,,137973.52,,0.10,,L2592
4p6.6g,2G,9/2,,137973.63,,0.10,,L2592
4p6.6h,2H*,"9/2,11/2",,138070.60,,0.07,,L2592
4p6.9s,2S,1/2,,142620.7,,0.4,,L2592
4p6.8d,2D,3/2,,143004.2,,0.5,,L2592
4p6.8d,2D,5/2,,143035.4,,0.2,,L2592
4p6.7f,2F*,5/2,,144565.80,,0.07,,L2592
4p6.7f,2F*,7/2,,144567.59,,0.07,,L2592
4p6.9p,2P*,1/2,,144741.1,,0.9,,L2592
4p6.9p,2P*,3/2,,144847.3,,0.7,,L2592
4p6.7g,2G,7/2,,145294.65,,0.09,,L2592
4p6.7g,2G,9/2,,145294.73,,0.09,,L2592
4p6.7h,2H*,"9/2,11/2",,145360.46,,0.10,,L2592
4p6.8f,2F*,5/2,,149536.28,,0.08,,L2592
4p6.8f,2F*,7/2,,149537.94,,0.17,,L2592
4p6.8g,2G,7/2,,150045.68,,0.09,,L2592
4p6.8g,2G,9/2,,150045.78,,0.09,,L2592
4p6.8h,2H*,"9/2,11/2",,150091.71,,0.14,,L2592
4p6.9f,2F*,5/2,,152934.36,,0.14,,L2592
4p6.9f,2F*,7/2,,152935.4,,0.3,,L2592
4p6.10f,2F*,5/2,,155357.2,,1.2,,L2592
4p6.10f,2F*,7/2,,155358.7,,1.2,,L2592
Y IV (4p6 1S<0>),Limit,---,,165540.5,,1.0,,L2592